,genes_0,genes_1,x,y,cluster
177370,21850.188,20176.066,21130.0,9417.0,725.0
177377,20352.145,21573.768,21127.0,9649.0,725.0
177378,20183.871,22200.146,21135.0,10067.0,237.0
177382,22353.027,20118.043,21146.0,9354.0,731.0
177383,20806.576,20742.102,21140.0,9934.0,725.0
177386,21197.924,20538.588,21137.0,9541.0,725.0
177389,21393.232,20403.93,21142.0,9334.0,725.0
177394,20023.822,22430.38,21136.0,9373.0,175.0
177402,21472.701,20379.95,21137.0,9314.0,725.0
177403,21952.902,20124.197,21133.0,9473.0,725.0
177404,21221.33,20537.865,21136.0,9670.0,725.0
177406,20691.576,20991.012,21134.0,9446.0,725.0
177408,20862.354,20751.91,21146.0,9624.0,725.0
177409,20158.604,22226.129,21139.0,10032.0,237.0
177416,20291.0,21961.342,21146.0,9974.0,237.0
177422,20760.896,20913.89,21149.0,9991.0,725.0
177425,22596.336,20109.688,21151.0,9393.0,731.0
177428,20225.787,22051.986,21150.0,9289.0,237.0
177429,20507.475,21212.188,21152.0,9528.0,725.0
177430,20533.225,21242.03,21144.0,9582.0,725.0
177434,20225.691,22140.105,21152.0,9611.0,237.0
177435,20857.125,20776.764,21143.0,9509.0,725.0
